
sample_name,n_total,n_cut_mjj_1100,n_cut_dEta_1.4,n_cut_dEta_mjj,min_dEta,max_dEta,min_mJJ,max_mJJ

qcdSideAll,134889,8812,0,0,-1.3999978154897688,1.3999581336975095,12.670231374661931,4136.58168466268
qcdSig,116096,7700,0,0,-1.399951305240393,1.3999355882406241,33.518177661942445,3990.261010884964
GtoWW35na,17119,16471,0,0,-1.3998894393444057,1.399622768163681,47.20345472494566,5807.227755197402
